"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","url","categoryName"
"Marques Consultoria & Assessoria em Medicina Ocupacional e Engenharia de Segurança do Trabalho","5","2","Av. Índico, 66","São Bernardo do Campo","São Paulo","BR","https://www.clinicamarques.med.br/","+55 11 96925-7127","Consultoria","Saúde e segurança ocupacional",,,,,"https://www.google.com/maps/search/?api=1&query=Marques%20Consultoria%20%26%20Assessoria%20em%20Medicina%20Ocupacional%20e%20Engenharia%20de%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJPY43IrRDzpQRzaEyvRnulFc","Consultoria"
"NR Consultoria em Saúde e Segurança Ocupacional","5","19",,,,,"https://nrconsultoriaocupacional.com.br/","+55 11 99291-6401","Saúde e segurança ocupacional","Service establishment","Serviço de saúde ocupacional","Médico de medicina ocupacional",,,"https://www.google.com/maps/search/?api=1&query=NR%20Consultoria%20em%20Sa%C3%BAde%20e%20Seguran%C3%A7a%20Ocupacional&query_place_id=ChIJhZ92PXaiVaQRudYKlfk1FMg","Saúde e segurança ocupacional"
"Sast Segurança e Saúde do Trabalho","4.1","59","R. Tirreno, 36","São Bernardo do Campo","São Paulo","BR","http://www.sast.com.br/","+55 11 4509-9875","Serviço de saúde ocupacional","Saúde e segurança ocupacional",,,,,"https://www.google.com/maps/search/?api=1&query=Sast%20Seguran%C3%A7a%20e%20Sa%C3%BAde%20do%20Trabalho&query_place_id=ChIJNWHg2bBDzpQRUlLX4SGCqNU","Serviço de saúde ocupacional"
"MEDNET São Bernardo do Campo/SP - Medicina e Segurança do Trabalho","4","301","R. Coral, 112","São Bernardo do Campo","São Paulo","BR","https://grupomednet.com.br/saobernardo/","+55 11 4930-3738","Serviço de saúde ocupacional","Saúde e segurança ocupacional","Clínica especializada",,,,"https://www.google.com/maps/search/?api=1&query=MEDNET%20S%C3%A3o%20Bernardo%20do%20Campo%2FSP%20-%20Medicina%20e%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJefNCTyhDzpQR5Wc7fssmFUE","Serviço de saúde ocupacional"
"ArEHS","5","7","R. José Versolato, 111 - sala 1410","São Bernardo do Campo","São Paulo","BR","http://www.arehs.com.br/","+55 11 3136-2382","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=ArEHS&query_place_id=ChIJ5YEWJRLI6UURE1R_c-JwaBA","Saúde e segurança ocupacional"
"Abellan Engenharia e Consultoria - Adequação NR 12","5","3","R. Ribeirão Píres, 179","São Bernardo do Campo","São Paulo","BR","https://www.abellanec.com/","+55 11 99229-1873","Consultoria em engenharia",,,,,,"https://www.google.com/maps/search/?api=1&query=Abellan%20Engenharia%20e%20Consultoria%20-%20Adequa%C3%A7%C3%A3o%20NR%2012&query_place_id=ChIJfQnMrMJDzpQRzKzeNCB0dSM","Consultoria em engenharia"
"NR Quality - Consultoria em Segurança e Rotulagem de Alimentos","5","1","R. XV de Agosto, 310","São Bernardo do Campo","São Paulo","BR",,"+55 11 94029-5704","Nutricionista",,,,,,"https://www.google.com/maps/search/?api=1&query=NR%20Quality%20-%20Consultoria%20em%20Seguran%C3%A7a%20e%20Rotulagem%20de%20Alimentos&query_place_id=ChIJkUkgVFdBzpQRhkImCF8bzv4","Nutricionista"
"NR+ CONSULTORIA EMPRESARIAL","5","2","R. Tapajós, 187 - | Sala 02","São Paulo","São Paulo","BR","http://www.nrmaisconsultoria.com.br/","+55 11 3151-5356","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=NR%2B%20CONSULTORIA%20EMPRESARIAL&query_place_id=ChIJF0cCEwBZzpQRQ5H8rRcMJTo","Saúde e segurança ocupacional"
"Setrab Group","4","602","R. dos Vianas, 1440","São Bernardo do Campo","São Paulo","BR","http://www.setrab.com.br/","+55 11 4122-7890","Saúde e segurança ocupacional","Serviço de saúde ocupacional","Clínica especializada","Centro de treinamento",,,"https://www.google.com/maps/search/?api=1&query=Setrab%20Group&query_place_id=ChIJEx2aGyFCzpQR7izDlkybLXU","Saúde e segurança ocupacional"
"NR Atualizada Assessoria e Treinamento LTDA","5","6","Av. Paulista, 1636 - sala, 1504","São Paulo","São Paulo","BR","http://www.nratualizada.com.br/","+55 13 3301-4848","Saúde e segurança ocupacional","Consultoria empresarial",,,,,"https://www.google.com/maps/search/?api=1&query=NR%20Atualizada%20Assessoria%20e%20Treinamento%20LTDA&query_place_id=ChIJgYca16sDzpQRKOUK-gUWLsM","Saúde e segurança ocupacional"
"Curso NR 35 ONLINE e Certificado NR 10","4.2","5","R. do Bosque, 1930 - sala 1","São Paulo","São Paulo","BR","https://maconsultoria.sistematutor.com.br/resultado?search=nr+35","+55 11 3522-8441","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=Curso%20NR%2035%20ONLINE%20e%20Certificado%20NR%2010&query_place_id=ChIJDSG4BalfzpQRuWP8qZZccw4","Centro de treinamento"
"GNR Ambiental- Consultoria e Engenharia Ambiental","4.8","33","R. Jurubatuba, 1350 - Sala 904","São Bernardo do Campo","São Paulo","BR","https://gnrambiental.com.br/","+55 11 95277-2125","Consultor ambiental","Consultor em acústica","Consultoria em engenharia","Engenharia ambiental",,,"https://www.google.com/maps/search/?api=1&query=GNR%20Ambiental-%20Consultoria%20e%20Engenharia%20Ambiental&query_place_id=ChIJLzhhkHxBzpQRPGOJyYVSHpE","Consultor ambiental"
