"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"Advogado em Ribeirão Preto - Calil & Nascimento Advocacia","Advogado","Advogado(a) civil","Fórum","Advogado criminal","Delegacia de polícia",,,,"Av. Leão XIII, 3905 - Lagoinha, Ribeirão Preto - SP, 14096-180, Brasil","Lagoinha","Av. Leão XIII, 3905","Ribeirão Preto","14096-180","São Paulo","BR",,,"+55 16 99273-9005","+5516992739005","-21.1875477","-47.7737016","R66G+XG Ribeirão Preto, São Paulo, Brasil","Advogado"
"RAFAEL QUARELI - ADVOCACIA ESPECIALIZADA","Serviços jurídicos",,,,,,,,"R. Paraná, 2902 - Centro, Cascavel - PR, 85812-150, Brasil","Centro","R. Paraná, 2902","Cascavel","85812-150","Paraná","BR",,,"+55 45 99812-2970","+5545998122970","-24.9539839","-53.4586067","2GWR+CH Centro, Cascavel - PR, Brasil","Serviços jurídicos"
"Roma & Piloni Advocacia","Advogado de Direito de Família","Advogado(a) civil","Advogado de planejamento de espólio","Advogado de práticas gerais","Advogado imobiliário",,,,"R. Álamo, 299 - Parque Verde, Cascavel - PR, 85807-710, Brasil","Parque Verde","R. Álamo, 299","Cascavel","85807-710","Paraná","BR",,,"+55 45 3306-0371","+554533060371","-24.9433581","-53.4898513","3G46+M3 Parque Verde, Cascavel - PR, Brasil","Advogado de Direito de Família"
"Lima Advogados Cascavel/PR","Serviços jurídicos",,,,,,,,"R. Curitiba, 63 - Ciro Nardi, Cascavel - PR, 85802-000, Brasil","Ciro Nardi","R. Curitiba, 63","Cascavel","85802-000","Paraná","BR",,,"+55 45 99989-9000","+5545999899000","-24.9627215","-53.4573463","2GPV+W3 Ciro Nardi, Cascavel - PR, Brasil","Serviços jurídicos"
"Vera Vieira - Advocacia e Consultoria Jurídica","Advogado previdenciário",,,,,,,,"R. Manoel Ortiz Rodrigues, 175 - Ibiti Royal Park, Sorocaba - SP, 18087-006, Brasil","Ibiti Royal Park","R. Manoel Ortiz Rodrigues, 175","Sorocaba","18087-006","São Paulo","BR",,,"+55 15 99654-8560","+5515996548560","-23.4490457","-47.4584438","HG2R+9J Ibiti Royal Park, Sorocaba - SP, Brasil","Advogado previdenciário"
"Dra. Adriana Borges - advogada atuante em área cível, de família e trabalhista","Advogado","Advogado(a) civil","Advogado especialista em divórcios","Advogado(a) de sucessões","Advogado de Direito de Família","Advogado trabalhista",,,"Av. Itavuvu, 126 - Sala 6 - Vila Olimpia, Sorocaba - SP, 18075-042, Brasil","Vila Olimpia","Av. Itavuvu, 126 - Sala 6","Sorocaba","18075-042","São Paulo","BR",,,"+55 15 3234-6585","+551532346585","-23.482884","-47.4718538","GG8H+R7 Vila Olimpia, Sorocaba - SP, Brasil","Advogado"
"Advogado em Florianópolis Ermeson Advogados","Advogado","Advogado criminal","Advogado de Direito de Família","Advogado de práticas gerais","Advogado imobiliário","Advogado processual",,,"Av. Hercílio Luz, 639 - Centro, Florianópolis - SC, 88020-000, Brasil","Centro","Av. Hercílio Luz, 639","Florianópolis","88020-000","Santa Catarina","BR",,,"+55 48 98832-5964","+5548988325964","-27.5974243","-48.5479501","CF32+2R Centro, Florianópolis - SC, Brasil","Advogado"
"Mattheus Neves Advocacia","Advogado(a) civil","Advogado","Advogado processual",,,,,,"Edífico Vintage - R. Júlio Moura, 30 - sala 604 - Centro, Florianópolis - SC, 88020-150, Brasil","Centro","Edífico Vintage - R. Júlio Moura, 30 - sala 604","Florianópolis","88020-150","Santa Catarina","BR",,,"+55 48 99937-7104","+5548999377104","-27.5980553","-48.5453151","CF23+QV Centro, Florianópolis - SC, Brasil","Advogado(a) civil"
"NEVILLE ADVOCACIA","Advogado",,,,,,,,"Rodovia Dr. Antônio Luiz Moura Gonzaga, 3339 - sala 301 bloco b - Rio Tavares, Florianópolis - SC, 88048-399, Brasil","Rio Tavares","Rodovia Dr. Antônio Luiz Moura Gonzaga, 3339 - sala 301 bloco b","Florianópolis","88048-399","Santa Catarina","BR",,,"+55 48 99653-2732","+5548996532732","-27.6578721","-48.4860864","8GR7+VH Rio Tavares, Florianópolis - SC, Brasil","Advogado"
"Vieira Bissiatto Advocacia","Serviços jurídicos","Advogado(a) civil","Advogado especialista em divórcios","Advogado de Direito de Família","Advogado trabalhista","Advogado","Advogado previdenciário",,"Rua Riachuelo, 460 Edifício Trade Tower, Sala 1007 - Décimo Andar - Centro, Sorocaba - SP, 18035-330, Brasil","Centro","Rua Riachuelo, 460 Edifício Trade Tower, Sala 1007 - Décimo Andar","Sorocaba","18035-330","SP","BR",,,"+55 15 3042-1285","+551530421285","-23.5055736","-47.459574","FGVR+Q5 Centro, Sorocaba - SP, Brasil","Serviços jurídicos"
"Franciele Cardoso Advogada Especialista em Auxílio-Doença, Aposentadoria, Pensão por Morte e Benefícios do INSS","Advogado previdenciário","Advogado de direitos da terceira idade","Advogado","Serviços jurídicos","Previdência Social","Consultor de aposentadoria","Escritório da Previdência Social",,"Av. Paraná, 427 - Sala 301 - Terceiro Andar - Centro, Londrina - PR, 86010-923, Brasil","Centro","Av. Paraná, 427 - Sala 301 - Terceiro Andar","Londrina","86010-923","Paraná","BR",,,"+55 43 99669-1899","+5543996691899","-23.3107325","-51.1598876","MRQR+P2 Centro, Londrina - PR, Brasil","Advogado previdenciário"
"Peres Martines Advogado","Advogado","Assistência jurídica",,,,,,,"R. Tiradentes, 1200 - Sala 102 - Centro, Piracicaba - SP, 13400-765, Brasil","Centro","R. Tiradentes, 1200 - Sala 102","Piracicaba","13400-765","São Paulo","BR",,,"+55 19 99624-5279","+5519996245279","-22.7253495","-47.6532452","78FW+VP Centro, Piracicaba - SP, Brasil","Advogado"
"Igor Santana Advocacia Trabalhista","Escritório de advocacia",,,,,,,,"R. Pedro Gusso, 4127 - sala 6 - Cidade Industrial de Curitiba, Curitiba - PR, 81315-000, Brasil","Cidade Industrial de Curitiba","R. Pedro Gusso, 4127 - sala 6","Curitiba","81315-000","Paraná","BR",,,"+55 41 3262-7377","+554132627377","-25.5116327","-49.3276552","FMQC+8W Cidade Industrial de Curitiba, Curitiba - PR, Brasil","Escritório de advocacia"
"Advocacia Fuzatto & Saraiva","Serviços jurídicos","Advogado administrativo","Advogado(a) civil","Advogado criminal","Advogado de Direito de Família","Advogado trabalhista","Advogado","Advogado de patentes","R. do Rosário, 40 - Centro, Piracicaba - SP, 13400-180, Brasil","Centro","R. do Rosário, 40","Piracicaba","13400-180","São Paulo","BR",,,"+55 19 3375-9946","+551933759946","-22.7166446","-47.6473615","79M3+83 Centro, Piracicaba - SP, Brasil","Serviços jurídicos"
"Fernando Luvizotto - Advogado","Advogado criminal","Advogado(a) civil","Advogado tributarista",,,,,,"R. Gomes Carneiro, 875 - B - Centro, Piracicaba - SP, 13400-530, Brasil","Centro","R. Gomes Carneiro, 875 - B","Piracicaba","13400-530","São Paulo","BR",,,"+55 19 98128-6842","+5519981286842","-22.7323648","-47.6517263","789X+38 Centro, Piracicaba - SP, Brasil","Advogado criminal"
"Rodrigo Corrêa Godoy","Advogado criminal",,,,,,,,"R. São João, 1285 - Alto, Piracicaba - SP, 13416-585, Brasil","Alto","R. São João, 1285","Piracicaba","13416-585","São Paulo","BR",,,"+55 19 3422-3413","+551934223413","-22.7304329","-47.6452255","7993+RW Alto, Piracicaba - SP, Brasil","Advogado criminal"
"Dr. Jamil Milani (Milani & Milani Advocacia Trabalhista)","Advogado",,,,,,,,"R. Treze de Maio, 797 - Sala 11 - Centro, Piracicaba - SP, 13400-300, Brasil","Centro","R. Treze de Maio, 797 - Sala 11","Piracicaba","13400-300","São Paulo","BR",,,"+55 19 3435-7552","+551934357552","-22.7227495","-47.6471625","79G3+W4 Centro, Piracicaba - SP, Brasil","Advogado"
"Marcelo Dini Advocacia","Advogado",,,,,,,,"R. Gomes Carneiro, 875 - Centro, Piracicaba - SP, 13400-530, Brasil","Centro","R. Gomes Carneiro, 875","Piracicaba","13400-530","São Paulo","BR",,,"+55 19 2534-2523","+551925342523","-22.7325099","-47.651793","788X+X7 Centro, Piracicaba - SP, Brasil","Advogado"
"Mariane Bacchin - Advogada Criminal","Advogado criminal",,,,,,,,"R. Voluntários de Piracicaba, 1105 - Alto, Piracicaba - SP, 13419-280, Brasil","Alto","R. Voluntários de Piracicaba, 1105","Piracicaba","13419-280","São Paulo","BR",,,"+55 19 99403-4745","+5519994034745","-22.7232123","-47.6440248","79G4+P9 Alto, Piracicaba - SP, Brasil","Advogado criminal"
