"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"Largo Engenharia e Construção Civil","Construtora",,,,,,,,"Travessa Padre Champagnat, 158 - Centro, Cascavel - PR, 85812-060, Brasil","Centro","Travessa Padre Champagnat, 158","Cascavel","85812-060","Paraná","BR",,,"+55 45 3035-4345","+554530354345","-24.9550566","-53.4560764","2GVV+XH Cascavel, PR, Brasil","Construtora"
"Pasqualotto Engenharia - Pinturas e Reformas","Construtora","Pintura","Reformas",,,,,,"Av. Carlos Correa Borges, 1600 - Conj. Hab. Inocente Vila Nova Júnior, Maringá - PR, 87060-130, Brasil","Conjunto Habitacional Inocente Vila Nova Júnior","Av. Carlos Correa Borges, 1600","Maringá","87060-130","Paraná","BR",,,"+55 44 99944-3967","+5544999443967","-23.4507214","-51.9542045","G2XW+P8 Conj. Hab. Inocente Vila Nova Júnior, Maringá - PR, Brasil","Construtora"
"CS PINTURAS RESIDENCIAIS E COMERCIAIS","Pintor","Pintura",,,,,,,"Av. São Paulo, 2827 - Vila Bosque, Maringá - PR, 87005-040, Brasil","Vila Bosque","Av. São Paulo, 2827","Maringá","87005-040","Paraná","BR",,,"+55 44 99943-6969","+5544999436969","-23.4361724","-51.9261434","H37F+GG Vila Bosque, Maringá - PR, Brasil","Pintor"
"Dallaias Pinturas Maringá","Pintor",,,,,,,,"R. Cuba, n. 1778 - Jardim Novo Oasis, Maringá - PR, 87043-632, Brasil","Jardim Novo Oasis","R. Cuba, n. 1778","Maringá","87043-632","Paraná","BR",,,"+55 44 99899-5741","+5544998995741","-23.4058902","-51.8933563","H4V4+JM Jardim Novo Oasis, Maringá - PR, Brasil","Pintor"
"Possatti Engenharia","Engenheiro civil",,,,,,,,"Av. Brasil, 8831 - AP 02 - Bairro Coqueiral, Cascavel - PR, 85816-302, Brasil","Bairro Coqueiral","Av. Brasil, 8831 - AP 02","Cascavel","85816-302","Paraná","BR",,,"+55 44 99946-0698","+5544999460698","-24.9542188","-53.48318","2GW8+8P Bairro Coqueiral, Cascavel - PR, Brasil","Engenheiro civil"
"Engenheiro Pedro Arnaldo Mariot","Engenheiro civil",,,,,,,,"R. Pres. Bernardes, 1807 - 06 - Centro, Cascavel - PR, 85801-180, Brasil","Centro","R. Pres. Bernardes, 1807 - 06","Cascavel","85801-180","Paraná","BR",,,"+55 44 99969-7055","+5544999697055","-24.9587866","-53.4658747","2GRM+FM Cascavel, PR, Brasil","Engenheiro civil"
"MM - Engenharia em Projetos","Empresa de engenharia civil",,,,,,,,"R. Paraná, 2361 - Sala 1106 - Centro, Cascavel - PR, 85812-011, Brasil","Centro","R. Paraná, 2361 - Sala 1106","Cascavel","85812-011","Paraná","BR",,,"+55 45 99141-5736","+5545991415736","-24.9533314","-53.452987","2GWW+MR Centro, Cascavel - PR, Brasil","Empresa de engenharia civil"
"Engenheiro Civil Jefferson Geron | Cascavel PR","Empresa de engenharia civil","Engenheiro","Engenheiro estrutural",,,,,,"Rua Pato Branco, 1496 - Bairro São Cristóvão, Cascavel - PR, 85816-510, Brasil","Bairro São Cristóvão","Rua Pato Branco, 1496","Cascavel","85816-510","Paraná","BR",,,"+55 45 99829-8120","+5545998298120","-24.9583514","-53.4288801","2HRC+MC Bairro São Cristóvão, Cascavel - PR, Brasil","Empresa de engenharia civil"
"Empreiteira Depro","Reformas","Prestador de serviços de construção civil","Construtora","Obras em grandes alturas","Serviço de reparos hidráulicos",,,,"Av. Francisco Glicério - Conceicao, Campinas - SP, 13010-080, Brasil","Conceicao","Av. Francisco Glicério","Campinas","13010-080","São Paulo","BR",,,"+55 19 99212-9846","+5519992129846","-22.9042316","-47.0599995","3WWR+82 Campinas, São Paulo, Brasil","Reformas"
"Giz Construções e Reformas","Reformas","Prestador de serviços de construção civil","Empresa de engenharia civil",,,,,,"R. Expedicionário Holz, 550 - Sala 503 - Atiradores, Joinville - SC, 89201-740, Brasil","Atiradores","R. Expedicionário Holz, 550 - Sala 503","Joinville","89201-740","Santa Catarina","BR",,,"+55 47 99199-4640","+5547991994640","-26.3002967","-48.8533009","M4XW+VM Atiradores, Joinville - SC, Brasil","Reformas"
"CSA Engenharia","Empresa de engenharia civil",,,,,,,,"Av. São Paulo, 2.735 - Sala 05 - Villa Bosque, Maringá - PR, 87005-040, Brasil","Villa Bosque","Av. São Paulo, 2.735 - Sala 05","Maringá","87005-040","Paraná","BR",,,"+55 44 3040-2018","+554430402018","-23.4354709","-51.9268388","H37F+R7 Maringá, Paraná, Brasil","Empresa de engenharia civil"
"Empreiteira de Mão de Obra Junkes Ltda","Construtora",,,,,,,,"R. Samuel Heusy, 73 - Bom Retiro, Joinville - SC, 89223-270, Brasil","Bom Retiro","R. Samuel Heusy, 73","Joinville","89223-270","Santa Catarina","BR",,,"+55 47 3425-4484","+554734254484","-26.25851","-48.8464308","P5R3+HC Bom Retiro, Joinville - SC, Brasil","Construtora"
"Rústicos sc","Construtora",,,,,,,,"R. Duque de Caxias, 198 - Centro, Penha - SC, 88385-000, Brasil","Centro","R. Duque de Caxias, 198","Penha","88385-000","Santa Catarina","BR",,,"+55 47 99220-0604","+5547992200604","-26.7752335","-48.6484242","69F2+WJ Centro, Penha - SC, Brasil","Construtora"
