"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"Nunes Construtora Alto Padrão - Reformas em Curitiba","Pintor",,,,,,,,,,"R. João Volpe, 658 - Butiatuvinha, Curitiba - PR, 82320-300, Brasil","Butiatuvinha","R. João Volpe, 658","Curitiba","82320-300","Paraná","BR",,,"+55 41 98407-2580","+5541984072580","-25.4001716","-49.3505434","HJXX+WQ Butiatuvinha, Curitiba - PR, Brasil","Pintor"
"Bravo Investimento Imobiliários","Agente imobiliário",,,,,,,,,,"R. Luís Delfino, 50 - sala 001 - Centro, Florianópolis - SC, 88015-360, Brasil","Centro","R. Luís Delfino, 50 - sala 001","Florianópolis","88015-360","Santa Catarina","BR",,,"+55 48 99144-0050","+5548991440050","-27.5888345","-48.5467264","CF63+F8 Centro, Florianópolis - SC, Brasil","Agente imobiliário"
"Mendes & Sibara Engenharia","Construtor Imobiliário",,,,,,,,,,"Av. do Estado Dalmo Vieira, 4770 - loja-29 - Estados, Balneário Camboriú - SC, 88339-060, Brasil","Estados","Av. do Estado Dalmo Vieira, 4770 - loja-29","Balneário Camboriú","88339-060","Santa Catarina","BR",,,"+55 47 2122-6006","+554721226006","-26.995794","-48.645624","2933+MQ Estados, Balneário Camboriú - SC, Brasil","Construtor Imobiliário"
"Local Construtora Manutenções e Serviços","Construtora","Loja de materiais de construção","Carpintaria","Empreiteira de serviços com gesso","Eletricista","Pedreiro","Serralharia","Pintor","Encanador","Reformas","Av: Atlantica, 2252 - Centro, Balneário Camboriú - SC, 88330-015, Brasil","Centro","Av: Atlantica, 2252","Balneário Camboriú","88330-015","Santa Catarina","BR",,,"+55 47 99696-4300","+5547996964300","-26.9890429","-48.6305503","2969+9Q Centro, Balneário Camboriú - SC, Brasil","Construtora"
"Angel Construtora","Construtora",,,,,,,,,,"R. Armazém - Municípios, Balneário Camboriú - SC, 88337-500, Brasil","Municípios","R. Armazém","Balneário Camboriú","88337-500","Santa Catarina","BR",,,"+55 47 99608-5997","+5547996085997","-27.006116","-48.6329294","X9V8+HR Municípios, Balneário Camboriú - SC, Brasil","Construtora"
"KRB Construtora e Obras","Construtora",,,,,,,,,,"Av. Santos Dumont, 500 - Bro - Novo Aeroporto, Londrina - PR, 86039-090, Brasil","Novo Aeroporto","Av. Santos Dumont, 500 - Bro","Londrina","86039-090","Paraná","BR",,,"+55 43 3324-9950","+554333249950","-23.3193695","-51.1477991","MVJ2+7V Novo Aeroporto, Londrina - PR, Brasil","Construtora"
"VINCOLO Gestão de Obras","Construtora",,,,,,,,,,"Av. Santos Dumont, 919 - Boa Vista, Londrina - PR, 86020-410, Brasil","Boa Vista","Av. Santos Dumont, 919","Londrina","86020-410","Paraná","BR",,,"+55 43 99910-6761","+5543999106761","-23.3212894","-51.1444155","MVH4+F6 Boa Vista, Londrina - PR, Brasil","Construtora"
"Camboriú Incorporadora e Construtora","Construtora",,,,,,,,,,"Rua 1700 104 - sl 1, Balneário Camboriú - SC, 54883-304, Brasil","Centro","Rua 1700 104 - sl 1","Balneário Camboriú","54883-304","SC","BR",,,"+55 47 3056-1641","+554730561641","-26.9774597","-48.6363327","29F7+2F Balneário Camboriú, Santa Catarina, Brasil","Construtora"
"BRA Incorporadora","Construtora",,,,,,,,,,"R. Mal. Floriano Peixoto, 1129 - Zona 7, Maringá - PR, 87030-030, Brasil","Zona 7","R. Mal. Floriano Peixoto, 1129","Maringá","87030-030","Paraná","BR",,,"","","-23.4142496","-51.9334009","H3P8+8J Zona 7, Maringá - PR, Brasil","Construtora"
"Fb Incorporadora","Construtora",,,,,,,,,,"R. das Azaléias, 479 - Jardim Iguaçú, Maringá - PR, 87060-040, Brasil","Jardim Iguaçú","R. das Azaléias, 479","Maringá","87060-040","Paraná","BR",,,"+55 44 3262-2211","+554432622211","-23.4392539","-51.962939","H26P+7R Jardim Iguaçú, Maringá - PR, Brasil","Construtora"
"Palhano Obras","Construtora",,,,,,,,,,"R. Piauí, 191 - Sala 13 - Centro, Londrina - PR, 86010-906, Brasil","Centro","R. Piauí, 191 - Sala 13","Londrina","86010-906","Paraná","BR",,,"+55 43 98424-4629","+5543984244629","-23.3134667","-51.1583157","MRPR+JM Centro, Londrina - PR, Brasil","Construtora"
