"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"JH Construtora e Incorporadora","Construtora",,,,,,,"R. Dep. Lauro Carneiro de Loyola, 983 - Iririú, Joinville - SC, 89227-250, Brasil","Iririú","R. Dep. Lauro Carneiro de Loyola, 983","Joinville","89227-250","Santa Catarina","BR",,,"+55 47 99917-8428","+5547999178428","-26.276708","-48.8158691","P5FM+8M Iririú, Joinville - SC, Brasil","Construtora"
"Incorporadora de Shopping Center Florianópolis Ltda","Desenvolvedora de imóveis",,,,,,,"R. Dom Jaime Câmara, 179 - Centro, Florianópolis - SC, 88015-120, Brasil","Centro","R. Dom Jaime Câmara, 179","Florianópolis","88015-120","Santa Catarina","BR",,,"+55 48 3232-9773","+554832329773","-27.592203","-48.5511267","CC5X+4G Centro, Florianópolis - SC, Brasil","Desenvolvedora de imóveis"
"D’Campos Construtora & Incorporadora","Construtora",,,,,,,"R. João de Deus Machado, 169 - Trindade, Florianópolis - SC, 88036-330, Brasil","Trindade","R. João de Deus Machado, 169","Florianópolis","88036-330","Santa Catarina","BR",,,"","","-27.5939833","-48.5195663","CF4J+C5 Trindade, Florianópolis - SC, Brasil","Construtora"
"Construtora Henrique","Construtora de casas pré-fabricadas",,,,,,,"Av. Dep. Diomício Freitas, 170 - Carianos, Florianópolis - SC, 88047-400, Brasil","Carianos","Av. Dep. Diomício Freitas, 170","Florianópolis","88047-400","Santa Catarina","BR",,,"+55 48 3207-9306","+554832079306","-27.6478552","-48.5217512","9F2H+V7 Carianos, Florianópolis - SC, Brasil","Construtora de casas pré-fabricadas"
"Enoch Construtora e Incorporadora","Construtora",,,,,,,"Av. Wladimir Meirelles Ferreira, 1660 - Bosque das Juritis, Ribeirão Preto - SP, 14021-630, Brasil","Bosque das Juritis","Av. Wladimir Meirelles Ferreira, 1660","Ribeirão Preto","14021-630","São Paulo","BR",,,"+55 16 3514-2000","+551635142000","-21.2107311","-47.8022908","Q5QX+P3 Bosque das Juritis, Ribeirão Preto - SP, Brasil","Construtora"
"Camboriú Incorporadora e Construtora","Construtora",,,,,,,"Rua 1700 104 - sl 1, Balneário Camboriú - SC, 54883-304, Brasil","Centro","Rua 1700 104 - sl 1","Balneário Camboriú","54883-304","SC","BR",,,"+55 47 3056-1641","+554730561641","-26.9774597","-48.6363327","29F7+2F Balneário Camboriú, Santa Catarina, Brasil","Construtora"
"R2 Construtora e Incorporadora","Empresa de engenharia civil",,,,,,,"Av. Pres. Vargas, 1265 - Jardim America, Ribeirão Preto - SP, 14020-260, Brasil","Jardim America","Av. Pres. Vargas, 1265","Ribeirão Preto","14020-260","São Paulo","BR",,,"+55 16 3877-6723","+551638776723","-21.1997159","-47.8075288","R52R+4X Jardim America, Ribeirão Preto - SP, Brasil","Empresa de engenharia civil"
"Construtora Remar","Construtora","Arquiteto","Serviço de design de projetos","Engenheiro civil","Executor(a)","Empreiteira","Reformas","R. Castro Alves, 2444 - Centro, Cascavel - PR, 85810-100, Brasil","Centro","R. Castro Alves, 2444","Cascavel","85810-100","Paraná","BR",,,"+55 45 3306-0770","+554533060770","-24.9512079","-53.4612429","2GXQ+GG Centro, Cascavel - PR, Brasil","Construtora"
"San Bueno Construtora e Incorporadora","Construtora",,,,,,,"Rua: Espinosa, 45 - Sala 107 - Bosque dos Eucaliptos, São José dos Campos - SP, 12233-300, Brasil","Bosque dos Eucaliptos","Rua: Espinosa, 45 - Sala 107","São José dos Campos","12233-300","São Paulo","BR",,,"+55 12 98178-5375","+5512981785375","-23.2417763","-45.8855658","Q457+7Q Bosque dos Eucaliptos, São José dos Campos - SP, Brasil","Construtora"
"Construtora Pacheco","Construtora",,,,,,,"Av. Alexandre Ribeiro Guimarães, 603 - Saraiva, Uberlândia - MG, 38408-050, Brasil","Saraiva","Av. Alexandre Ribeiro Guimarães, 603","Uberlândia","38408-050","Minas Gerais","BR",,,"+55 34 99636-7006","+5534996367006","-18.9169188","-48.2623951","3PMQ+62 Uberlândia, MG, Brasil","Construtora"
"Construtora Marques – Construção Civil","Construtora",,,,,,,"R. dos Piquiroes, 40 - Jardim Aquarius, São José dos Campos - SP, 12246-020, Brasil","Jardim Aquarius","R. dos Piquiroes, 40","São José dos Campos","12246-020","São Paulo","BR",,,"+55 12 98207-7839","+5512982077839","-23.2149279","-45.9088339","Q3PR+2F Jardim Aquarius, São José dos Campos - SP, Brasil","Construtora"
"MYTA Construtora","Construtora",,,,,,,"Av. dos Trabalhadores, 116 - sala 211 - Vila Castelo Branco, Indaiatuba - SP, 13338-050, Brasil","Vila Castelo Branco","Av. dos Trabalhadores, 116 - sala 211","Indaiatuba","13338-050","São Paulo","BR",,,"+55 19 99329-1311","+5519993291311","-23.0875731","-47.1990086","WR62+X9 Vila Castelo Branco, Indaiatuba - SP, Brasil","Construtora"
"ROD Construtora","Construtora",,,,,,,"Av. T-32, 367 - St. Bueno, Goiânia - GO, 74210-120, Brasil","Setor Bueno","Av. T-32, 367","Goiânia","74210-120","Goiás","BR",,,"+55 62 3609-5251","+556236095251","-16.689022","-49.2869772","8P67+96 St. Bueno, Goiânia - GO, Brasil","Construtora"
"Manacá Empreendimentos","Construtora",,,,,,,"Av. dos Trabalhadores, 116 - Sala 1305 - Vila Castelo Branco, Indaiatuba - SP, 13338-050, Brasil","Vila Castelo Branco","Av. dos Trabalhadores, 116 - Sala 1305","Indaiatuba","13338-050","São Paulo","BR",,,"+55 19 98961-1441","+5519989611441","-23.0871472","-47.1992591","WR72+47 Vila Castelo Branco, Indaiatuba - SP, Brasil","Construtora"
"BRASIL CONSTRUTORA","Construtora",,,,,,,"Rua Ângelo Fanhane 127 - Periolo, Cascavel - PR, 85817-676, Brasil","Periolo","Rua Ângelo Fanhane 127","Cascavel","85817-676","PR","BR",,,"+55 45 99967-5002","+5545999675002","-24.9383977","-53.4098203","3H6R+J3 Periolo, Cascavel - PR, Brasil","Construtora"
"Amplus Construtora - Construções em Goiânia e Goiás","Construtora","Empresa de engenharia civil",,,,,,"Ed. Buena Vista Office Design, Av. T-4 - St. Bueno, Goiânia - GO, 74230-035, Brasil","Setor Bueno","Ed. Buena Vista Office Design, Av. T-4","Goiânia","74230-035","GO","BR",,,"+55 62 3095-6666","+556230956666","-16.7130162","-49.2668221","7PPM+Q7 St. Bueno, Goiânia - GO, Brasil","Construtora"
"Dimak Construtora e Incorporadora","Construtora",,,,,,,"R. Gutemberg, 151 - Sala 1603 - Petrópolis, Porto Alegre - RS, 91310-010, Brasil","Petrópolis","R. Gutemberg, 151 - Sala 1603","Porto Alegre","91310-010","Rio Grande do Sul","BR",,,"+55 51 3315-0000","+555133150000","-30.0409419","-51.1728771","XR5G+JR Petrópolis, Porto Alegre - RS, Brasil","Construtora"
"Construtora São Pedro","Construtora",,,,,,,"R. 9, 2391 - QD G21 Lt.08 - SALA 101 - St. Marista, Goiânia - GO, 74150-130, Brasil","Setor Marista","R. 9, 2391 - QD G21 Lt.08 - SALA 101","Goiânia","74150-130","Goiás","BR",,,"","","-16.6997428","-49.265014","8P2M+4X St. Marista, Goiânia - GO, Brasil","Construtora"
"F.A construtora","Construtora",,,,,,,"Rua travessa do estolcomo, 1 - Casa numero 12 - Cascavel Velho, Cascavel - PR, 85818-580, Brasil","Cascavel Velho","Rua travessa do estolcomo, 1 - Casa numero 12","Cascavel","85818-580","Paraná","BR",,,"+55 45 99828-0185","+5545998280185","-24.972973","-53.4285748","2HGC+RH Cascavel Velho, Cascavel - PR, Brasil","Construtora"
"ConstruGO Engenharia","Prestador de serviços de construção civil","Fornecedor de ar-condicionado","Engenheiro civil","Construtora","Consultoria em engenharia",,,"Av. Transbrasiliana, N° 604 - Sala 4 - Parque Amazonia, Goiânia - GO, 74835-300, Brasil","Parque Amazonia","Av. Transbrasiliana, N° 604 - Sala 4","Goiânia","74835-300","Goiás","BR",,,"+55 62 3582-4432","+556235824432","-16.725091","-49.2698269","7PFJ+X3 Parque Amazonia, Goiânia - GO, Brasil","Prestador de serviços de construção civil"
"Elmirassol","Construtora","Service establishment",,,,,,,,,,,,,,,"","","-38.45155","-63.5989957",,"Construtora"
"Construtora LB","Construtora","Prestador de serviços de construção civil","Imobiliária",,,,,"R. Manoel Ribas, 2088 - Centro, Cascavel - PR, 85801-230, Brasil","Centro","R. Manoel Ribas, 2088","Cascavel","85801-230","Paraná","BR",,,"+55 45 3039-0815","+554530390815","-24.9600901","-53.4705645","2GQH+XQ Centro, Cascavel - PR, Brasil","Construtora"
"CHR Construtora","Construtora","Desenvolvimento de moradias",,,,,,"R. Padre José Hermano Torres Portugal, 177 - Cará-Cará, Ponta Grossa - PR, 84033-822, Brasil","Cará-Cará","R. Padre José Hermano Torres Portugal, 177","Ponta Grossa","84033-822","Paraná","BR",,,"+55 42 99823-1781","+5542998231781","-25.1216123","-50.1157913","VVHM+9M Cará-Cará, Ponta Grossa - PR, Brasil","Construtora"
"Matriz Construtora","Fornecedor",,,,,,,"R. Teixeira Mendes, 879 - Uvaranas, Ponta Grossa - PR, 84031-000, Brasil","Uvaranas","R. Teixeira Mendes, 879","Ponta Grossa","84031-000","Paraná","BR",,,"","","-25.0945734","-50.1189638","WV4J+5C Uvaranas, Ponta Grossa - PR, Brasil","Fornecedor"
"M3H Construtora Ltda.","Construtora",,,,,,,"R. Frei Caneca, 585 - Sala 1 e 2 - Centro, Ponta Grossa - PR, 84010-060, Brasil","Centro","R. Frei Caneca, 585 - Sala 1 e 2","Ponta Grossa","84010-060","Paraná","BR",,,"+55 42 99988-2970","+5542999882970","-25.0993533","-50.1613588","WR2Q+7F Centro, Ponta Grossa - PR, Brasil","Construtora"
