"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"Renovar/pequenas reformas","Construtor Imobiliário",,,,,,,,,"R. Valdomiro Pistun, 485 - Conj. Parigot de Souza 3, Londrina - PR, 86081-090, Brasil","Conjunto Parigot de Souza 3","R. Valdomiro Pistun, 485","Londrina","86081-090","Paraná","BR",,,"+55 43 98848-2758","+5543988482758","-23.2668208","-51.1781254","PRMC+7P Conj. Parigot de Souza 3, Londrina - PR, Brasil","Construtor Imobiliário"
"BS Construção e Reforma - Serviços de Pinturas e Pedreiro","Pintor","Prestador de serviços de construção civil","Pedreiro","Pintura","Reformas",,,,,"R. José Mendes dos Santos - Parque Jambeiro, Campinas - SP, 13042-500, Brasil","Parque Jambeiro","R. José Mendes dos Santos","Campinas","13042-500","São Paulo","BR",,,"+55 19 99648-6817","+5519996486817","-22.9640029","-47.0445151","2XP4+95 Parque Jambeiro, Campinas - SP, Brasil","Pintor"
"CHR Construtora","Construtora","Desenvolvimento de moradias",,,,,,,,"R. Padre José Hermano Torres Portugal, 177 - Cará-Cará, Ponta Grossa - PR, 84033-822, Brasil","Cará-Cará","R. Padre José Hermano Torres Portugal, 177","Ponta Grossa","84033-822","Paraná","BR",,,"+55 42 99823-1781","+5542998231781","-25.1216123","-50.1157913","VVHM+9M Cará-Cará, Ponta Grossa - PR, Brasil","Construtora"
"Pedreiro azulejista campinas S.A","Pedreiro",,,,,,,,,"Rua madre eduarda sharfers 258 - Parque Res. Vila União, Campinas - SP, 13060-649, Brasil","Parque Residencial Vila União","Rua madre eduarda sharfers 258","Campinas","13060-649","SP","BR",,,"+55 19 99015-3248","+5519990153248","-22.9396902","-47.1133986","3V6P+4J Parque Res. Vila União, Campinas - SP, Brasil","Pedreiro"
"Construtora Lcs","Construtora de casas personalizadas","Arquiteto","Consultoria em engenharia",,,,,,,"R. Visc. de Nacar, 70 - Centro, Ponta Grossa - PR, 84010-620, Brasil","Centro","R. Visc. de Nacar, 70","Ponta Grossa","84010-620","Paraná","BR",,,"+55 42 3224-7935","+554232247935","-25.0983588","-50.1633462","WR2P+MM Centro, Ponta Grossa - PR, Brasil","Construtora de casas personalizadas"
"M3H Construtora Ltda.","Construtora",,,,,,,,,"R. Frei Caneca, 585 - Sala 1 e 2 - Centro, Ponta Grossa - PR, 84010-060, Brasil","Centro","R. Frei Caneca, 585 - Sala 1 e 2","Ponta Grossa","84010-060","Paraná","BR",,,"+55 42 99988-2970","+5542999882970","-25.0993533","-50.1613588","WR2Q+7F Centro, Ponta Grossa - PR, Brasil","Construtora"
"Sanna Construtora de Obras Ltda","Construtora",,,,,,,,,"R. São Silvestre, 71 - Zona 7, Maringá - PR, 87030-140, Brasil","Zona 7","R. São Silvestre, 71","Maringá","87030-140","Paraná","BR",,,"+55 44 3346-0020","+554433460020","-23.4093528","-51.9302221","H3R9+7W Zona 7, Maringá - PR, Brasil","Construtora"
"EMPREITEIRA TÉCNICA EDIFICAÇÕES","Empreiteira",,,,,,,,,"R. Santos Dumont, 3317 - sala 1003 - Zona 1, Maringá - PR, 87013-050, Brasil","Zona 1","R. Santos Dumont, 3317 - sala 1003","Maringá","87013-050","Paraná","BR",,,"+55 44 99906-6653","+5544999066653","-23.4221642","-51.9449341","H3H4+42 Maringá, Paraná, Brasil","Empreiteira"
"Adecors Pintura e Gesso","Empreiteira de serviços com gesso","Pintura",,,,,,,,"R. José Iran Marino dos Santos - Jardim Ipanema, Sorocaba - SP, 18070-240, Brasil","Jardim Ipanema","R. José Iran Marino dos Santos","Sorocaba","18070-240","São Paulo","BR",,,"+55 15 98810-9312","+5515988109312","-23.4784884","-47.4815133","GGC9+J9 Jardim Ipanema, Sorocaba - SP, Brasil","Empreiteira de serviços com gesso"
"Opção Pinturas","Pintor","Pintura","Reformas","Serviço de pintura de janelas",,,,,,"Av. Percito de Sousa Queiroz, N:833 - Vila Barao, Sorocaba - SP, 18061-240, Brasil","Vila Barao","Av. Percito de Sousa Queiroz, N:833","Sorocaba","18061-240","São Paulo","BR",,,"+55 15 98821-8253","+5515988218253","-23.4912064","-47.4868498","GG57+G7 Vila Barao, Sorocaba - SP, Brasil","Pintor"
