title,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName
Dr. Ricardo K. Miyamoto – Ortopedista da Coluna Vertebral,Clínica ortopédica,,,,,,"R. Blumenau, 1316 - América, Joinville - SC, 89204-322, Brasil",América,"R. Blumenau, 1316",Joinville,89204-322,Santa Catarina,BR,,,+55 47 99700-0037,+5547997000037,"-26,288034","-48,8496009","P562+Q5 América, Joinville - SC, Brasil",Clínica ortopédica
QUIROCLÍNICA VIVEIROS/ Clinica de quiropraxia/ Fabio Viveiros,Médico,,,,,,"Rua Hermann Mathes, 477 - Vila Nova, Blumenau - SC, 89035-030, Brasil",Vila Nova,"Rua Hermann Mathes, 477",Blumenau,,Santa Catarina,BR,,,+55 47 3322-6468,+554733226468,"-26,9086946","-49,0860662","3WR7+GH Vila Nova, Blumenau - SC, Brasil",Médico
Fisioterapia e Pilates,Clínica de Fisioterapia,,,,,,"Av. Adolfo Lutz, 835 - Vila Santa Cruz, São José do Rio Preto - SP, 15014-140, Brasil",Vila Santa Cruz,"Av. Adolfo Lutz, 835",São José do Rio Preto,15014-140,São Paulo,BR,,,+55 17 98817-7190,+5517988177190,"-20,8211001","-49,3750172","5JHF+HX Vila Santa Cruz, São José do Rio Preto - SP, Brasil",Clínica de Fisioterapia
Instituto Balsini- Dor Ortopédica e Esporte,Clínica ortopédica,,,,,,"R. XV de Novembro, 1156 - América, Joinville - SC, 89201-602, Brasil",América,"R. XV de Novembro, 1156",Joinville,89201-602,Santa Catarina,BR,,,+55 47 3433-3835,+554734333835,"-26,2986653","-48,8534137","P42W+GJ América, Joinville - SC, Brasil",Clínica ortopédica
La Fisio - clínica de Fisioterapia,Clínica de Fisioterapia,,,,,,"R. Independência, 2414 - Boa Vista, São José do Rio Preto - SP, 15025-095, Brasil",Boa Vista,"R. Independência, 2414",São José do Rio Preto,15025-095,São Paulo,BR,,,+55 17 3232-6434,+551732326434,"-20,8116188","-49,388899","5JQ6+9C Boa Vista, São José do Rio Preto - SP, Brasil",Clínica de Fisioterapia
Dra Bruna Lombardi Fisioterapia Pélvica,Clínica de Fisioterapia,,,,,,"Av. Romeu Strazzi, 325 - Sala 102 - Vila Sinibaldi, São José do Rio Preto - SP, 15084-010, Brasil",Vila Sinibaldi,"Av. Romeu Strazzi, 325 - Sala 102",São José do Rio Preto,15084-010,São Paulo,BR,,,+55 17 99275-4554,+5517992754554,"-20,82648","-49,3833934","5JF8+CJ Vila Sinibaldi, São José do Rio Preto - SP, Brasil",Clínica de Fisioterapia
Movimentus - Clínica de Fisioterapia,Clínica de Fisioterapia,Terapeuta de drenagem linfática,Neurologista pediátrico,Fisioterapeuta,Estúdio de pilates,Clínica de Reabilitação,"R. Frei Baltazar XIX, 177 - Vila Maria, São José do Rio Preto - SP, 15025-390, Brasil",Vila Maria,"R. Frei Baltazar XIX, 177",São José do Rio Preto,15025-390,São Paulo,BR,,,+55 17 3226-6137,+551732266137,"-20,809541","-49,3945353","5JR4+55 Vila Maria, São José do Rio Preto - SP, Brasil",Clínica de Fisioterapia
CLÍNICA DE FISIOTERAPIA UNIFISIO RIO PRETO,Clínica de Fisioterapia,,,,,,"Rua Marechal Deodoro da Fonseca, 3527 - Vila Santa Cruz, São José do Rio Preto - SP, 15014-060, Brasil",Vila Santa Cruz,"Rua Marechal Deodoro da Fonseca, 3527",São José do Rio Preto,15014-060,São Paulo,BR,,,+55 17 3304-5043,+551733045043,"-20,8160484","-49,378456","5JMC+HJ Vila Santa Cruz, São José do Rio Preto - SP, Brasil",Clínica de Fisioterapia
MR Fisioterapia,Clínica de Fisioterapia,Piscina interna,Estúdio de pilates,Clínica de Reabilitação,,,"R. Josina Teixeira de Carvalho, 367 - Vila Anchieta, São José do Rio Preto - SP, 15050-305, Brasil",Vila Anchieta,"R. Josina Teixeira de Carvalho, 367",São José do Rio Preto,15050-305,São Paulo,BR,,,+55 17 3225-1791,+551732251791,"-20,794798","-49,3698676","6J4J+33 Vila Anchieta, São José do Rio Preto - SP, Brasil",Clínica de Fisioterapia
Corpus Core - Centro Integrado de Saúde,Clínica de Quiropraxia,Nutricionista,Fisioterapeuta,,,,"R. Ewaldo Brueckheimer, n152 - Velha, Blumenau - SC, 89036-130, Brasil",Velha,"R. Ewaldo Brueckheimer, n152",Blumenau,89036-130,Santa Catarina,BR,,,+55 47 99772-0094,+5547997720094,"-26,9190829","-49,0852843","3WJ7+9V Velha, Blumenau - SC, Brasil",Clínica de Quiropraxia
